title,published_date,updated_published_date,author,content,location,crime,news_url,img_url,latitude,longitude,crime_numeric
"QC narcs arrest 3 suspects, 18-year-old girl in separate ops",2/18/2019 23:13,,"CESAR APOLINARIO, GMA News",drug year woman allegedly decoy policeman separate bust weekend police superintendent told news prior surveillance citizen warehouse house drug barangay holy spirit allegedly chronic pusher style meet mall outside mall catch said actual bust police year surveillance soon police confirmed involvement illegal drug caught video news given copy surveillance video police video seen police informant later informant meet actual transaction informant meet live partner afternoon suspect agreed meet late afternoon armed proper city police district station area particularly commonwealth avenue later police received wait live partner possession involved targeted area police transaction worth suspected immediately police police station deny involvement drug trade said assigned live partner deliver client aside facing drug police appropriate live partner large operation time barangay following night police compound received concerned citizen tipped storeroom drug mark caught session police police found suspected foil appropriate admitted session,"Holy Spirit, Quezon City",Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/685335/qc-narcs-arrest-3-suspects-18-year-old-girl-is-separate-operations/story/,https://images.gmanews.tv/webpics/2019/02/drugs_2019_02_18_23_51_29.jpg,14.6838626,121.0761031,4
SITG â€˜Yuloâ€™ looking into all angles of motive behind EDSA shooting incident,2/19/2019 11:17,,,special investigation task group looking lead possible motive shooting incident eastern police district director said according director police chief superintendent looking information gathering evidence support investigation murder allan wounding initial investigation armed aboard black motorcycle vehicle fired passenger sustained gunshot wounds different body driver owner sustained gunshot wounds death soco found colt caliber snub nose loaded ammunition aside found crime scene spent allegedly came caliber firearm deformed slug caliber firearm related business businessman police chief police senior superintendent said incident knowledge crime seeking plate number black motorcycle wearing black blue faced southbound city afternoon public taken footage police send rita,Mandaluyong City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/685377/sitg-yulo-looking-into-all-angles-of-motive-behind-edsa-shooting-incident/story/,https://images.gmanews.tv/webpics/2019/02/edsa_shooting_2019_02_17_18_32_31.jpg,,,1
4 arrested in QC over drugs,2/19/2019 14:17,,"CESAR APOLINARIO, GMA News",garbage collector construction worker drug separate police police city bust sting night pusher year allegedly sold plastic sachet worth undercover police informant sale took place police officer buyer immediately time possession bust money given transaction police hand search inside house year live partner male companion year suspected police superintendent commander city police district station said illegal drug tipped area suspect long time breaking house neighbor said morning night maya people enter video racing inside said construction worker said video racing adjacent room police involvement transaction admitted user catch possession admit said hand confirmed news peddling longer live partner illegal drug trade reason earn little involved husband said operation police community station year rider city evening police suspect year board motor vehicle time approaching intersection villa street police said wearing helmet suspected marijuana leaves interview news selling marijuana saying recreational police station facing violation comprehensive dangerous,"Payatas, Quezon City",Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/685401/4-arrested-in-qc-over-drugs/story/,https://images.gmanews.tv/webpics/2019/02/drugs_2019_02_19_14_16_42.jpg,14.7070204,121.0963083,4
NBI probes personnel conduct at Maria Ressa arrest,2/19/2019 15:16,,"NICOLE-ANNE C. LAGRIMAS, GMA News",national bureau investigation conduct personnel court arrest warrant maria week memorandum director told justice undersecretary directed bureau internal division look matter render report soon possible assured official treat matter utmost objectivity fairness staff said arrest warrant executive editor connection libel case headquarters case reporter posted live video unidentified operative stop recording later threatening exposed arrest division chief victor intimidation saying purpose logic justice undersecretary said investigate arrest justice secretary said illegal media record event interfere orderly conduct posted bail manila court march,Manila City,Cybercrime,https://www.gmanetwork.com/news/topstories/metro/685411/nbi-probes-personnel-conduct-at-maria-ressa-arrest/story/,https://images.gmanews.tv/webpics/2017/06/Untitled_2017_06_19_16_11_52.png,,,6
P100-k marijuana seized in buy-bust op in Valenzuela,2/19/2019 17:02,,,police worth marijuana drug bust operation city according report allegedly drug inside sachet marijuana police poseur buyer bust operation police vehicle found marijuana value watching long time persistent information selling illegal drug watch list senior superintendent police said reportedly supply marijuana cordillera accusation,Valenzuela City,Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/685433/p100-k-marijuana-seized-in-buy-bust-op-in-valenzuela/story/,https://images.gmanews.tv/webpics/2019/02/arrested_2019_02_19_16_50_52.jpg,,,4
Wild chase ends in arrest of 4 drug suspects in QC,2/20/2019 23:58,,CESAR APOLINARIO,woman tagged police drug watch list house barangay night police operation main target native city engaged wild chase secret underground tunnel inside house aside bust money police alias inside house wild chase shortly arrival team female arrest police wild chase inside house collared escape pushing police officer running house later police vicinity police superintendent told news scene carrying toddler police relative later house loud thud main suspect arrest caught trying sneak house police senior inspector told news owner house deliberately hole access underground tunnel leading creek apparently illegal drug involved illicit actually tunnel like raid area escape went thought live said facing violation comprehensive dangerous resisting arrest,"Gulod, Quezon City",Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/685646/wild-chase-ends-in-arrest-of-4-drug-suspects-in-qc/story/,https://images.gmanews.tv/webpics/2019/02/4_arrested_qc_bust_2019_02_20_23_57_57.jpg,14.7168532,121.0403842,4
Cops accused of killing QC prosecutor deny murder charge,2/19/2019 17:03,,"NICOLE-ANNE C. LAGRIMAS, GMA News",police linked killing city prosecutor charge different time attack police officer senior police officer police officer lucy told department justice counter know kill shot inside barangay holy spirit city ambush rushed hospital pronounced dead counter affidavit said duty time incident fought following case sibling late prosecutor actually said hire lawyer bail judge sell business said city circle meet prospective buyer later land transportation office meet buyer vehicle lucy said serving warrant arrest homicide suspect morning afternoon home commonwealth dismiss murder complaint lack merit investigating hearing preliminary investigation complaint march,"Holy Spirit, Quezon City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/685434/cops-accused-of-killing-qc-prosecutor-deny-murder-charge/story/,https://images.gmanews.tv/webpics/2019/01/velasco_2019_01_28_16_21_24.jpg,14.6838626,121.0761031,1
Student arrested for possession of suspected marijuana leaves,2/21/2019 6:06,,,grade student visiting friend ended joining friend police found suspected marijuana leaves possession according report balita police found suspected marijuana leaves inside folded piece paper inside wallet year sampaloc police station deny suspected marijuana leaves found possession said month illegal know going visit brought pocket want inside jail said senior high school student possession suspected marijuana leaves police investigation determine source marijuana leaves,,Morality Crime,https://www.gmanetwork.com/news/topstories/metro/685662/student-arrested-for-possession-of-suspected-marijuana-leaves/story/,https://images.gmanews.tv/v3/webpics/v3/2014/09/2014_09_16_14_36_30.jpg,,,3
Drug suspect arrested in Novaliches,2/22/2019 2:37,,"CESAR APOLINARIO, GMA News",tagged police drug personality watch list house barangay morning police suspect year alias decoy police station drug enforcement unit station outside home subdivision according police superintendent commander station personally received bust money exchange marijuana ordered poseur buyer police handcuff officer fled police officer entering house immediately locked door police house door blocked woman mother argument unit team leader gilbert prove guilt illegal drug tension police able marijuana target bust operation police finally spotted suspect inside bedroom immediately aside bust money sachet marijuana pipe plastic container found possession told news selling marijuana leaves said personal problem family mother hand agreed police undergo drug rehabilitation saying necessary depression head police senior inspector said violation comprehensive dangerous resisting arrest mother proved knew involvement selling bust suddenly room police charge ended,"Bagbag, Quezon City",Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/685778/drug-suspect-arrested-in-novaliches/story/,https://images.gmanews.tv/v3/webpics/v3/2014/09/2014_09_12_14_25_41.jpg,14.6966669,121.0306306,4
P2M worth of ecstasy pills seized at NAIA,2/22/2019 11:22,,,ecstasy street value million international airport according report news flash worth ecstasy international airport illegal bureau customs personnel central mail exchange center reportedly came certain declared light shipment year total ecstasy worth million found package turned drug enforcement agency,,Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/685802/p2m-worth-of-ecstasy-pills-seized-at-naia/story/,https://images.gmanews.tv/webpics/2019/02/ZZZ_022219_2_2019_02_22_11_21_24.jpg,,,4
QC cops arrest suspect in 2016 rape of 15-year-old,2/23/2019 1:00,,"CESAR APOLINARIO, GMA News",city police district station intelligence branch male suspect rape year girl virtue warrant arrest honorable city regional trial court branch police year alias night drinking session barangay city native city violation republic anti rape relation special protection abuse exploitation discrimination court bail suspect police senior inspector said victim filing case arrest warrant arrest warrant know attend hearing lawyer aunt attend said told news relationship year complainant said learned accused crime case grudge days ended relationship complainant mother said police superintendent commander station told news suspect complainant answer crime allegedly victim warrant thought longer case relationship defense attend hearing said complainant news hand said face lover,"Gulod, Quezon City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/685898/qc-cops-arrest-suspect-in-2016-rape-of-16-year-old/story/,https://images.gmanews.tv/webpics/2019/02/rape_2019_02_23_00_42_56.jpg,14.7168532,121.0403842,1
3 suspects arrested during QC anti-criminality operation,2/24/2019 5:59,,"CESAR APOLINARIO, GMA News",unemployed police anti criminality operation barangay city past police city police district station routine inspection avenue corner king street subdivision strong smell marijuana later police male walking king street police superintendent station commander police said alias learned source odor apparently came pipe holding addition fact holding marijuana pipe check crime came positive marijuana said aside pipe marijuana marijuana stem dried marijuana leaves days news able obtain video footage surveillance according police senior inspector chief intelligence branch station time marijuana pusher area adjacent city said alias afford expensive luxury shown surveillance video days verification jobless video clips casually showing marijuana later told person video allegedly video clip smoking offering police asset surveillance revealed group travel north marijuana know actually goes marijuana caught police added aside peddler later elder brother following year station number drug watch list police drug station,"Bagbag, Quezon City",Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/685963/3-suspects-arrested-during-qc-anti-criminality-operation/story/,https://images.gmanews.tv/webpics/2019/02/image1(5)_2019_02_24_05_46_12.jpg,14.6966669,121.0306306,4
NCRPO's Eleazar lauds MRT security system for detecting grenade,2/24/2019 10:55,,,national capital region director effective security system rail transit line able detect grenade passenger carrying tried enter station city fact grenade security system effective personnel said press conference morning security personnel evening carrying grenade tried inside station report suspect entry station news report suspect inside grenade machine station station headed station supposed proceed press conference said explosive fragmentation grenade brother soldier said investigation ongoing hold grenade determine brother culpability background suspect likewise public public graver offense illegal possession bailable offense punishable life sentence said,"Cubao, Quezon City",Property Crime,https://www.gmanetwork.com/news/topstories/metro/685972/ncrpo-s-eleazar-lauds-mrt-security-system-for-detecting-grenade/story/,https://images.gmanews.tv/webpics/2018/08/ZZZ_082218_guillermo_eleazar_2018_08_22_15_59_40.jpg,14.621648,121.0502934,2
OWWA gets notice of violation for possibly polluting Manila Bay,2/24/2019 13:51,,,overseas welfare administration headquarters city recently notice violation polluting manila amid historic busy lake development authority notice violation main annex building cultural center city manila fronting manila super given days explain solid waste management system manila suspected generating untreated directly,Pasay City,Property Crime,https://www.gmanetwork.com/news/topstories/metro/685984/owwa-gets-notice-of-violation-for-possibly-polluting-manila-bay/story/,https://images.gmanews.tv/webpics/2019/02/ZZZ_022219_news_2019_02_22_08_54_47.jpg,,,2
Two teens apprehended during QC buy-bust,2/24/2019 19:19,,"CESAR APOLINARIO, GMA News",police allegedly peddling involved illegal drug trade barangay city night police senior inspector chief station drug enforcement unit station said teens bust sting year suspect allegedly sold worth police decoy informant later told news involved illegal trade year year nervous bust told news underwent intensive station intelligence branch told juvenile drug transact normally taking hour transact minor aged police able touch year pusher primary said line immediately bust sting probably rang cell phone turned truth making transaction knowing value order transaction younger regularly talk said police superintendent young representative department social welfare development straight said determine discernment pursue case section comprehensive dangerous said bust sting team marijuana leaves year suspect allegedly sold worth marijuana police officer posing buyer evening marijuana leaves suspect prince declined interview news said peddling marijuana young police station facing violation comprehensive dangerous,"Sta. Monica, Quezon City",Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/686012/two-teens-apprehended-during-qc-buy-bust/story/,https://images.gmanews.tv/webpics/2019/02/arrest1_2019_02_24_19_03_08.jpg,14.7252015,121.043347,4
Suspect in attempted kidnapping of minors arrested in QC,2/26/2019 9:53,,,suspected kidnap city police suspect barangay commonwealth according report news balita suspect national capital region police office camp city viral photo linked abduction riverside street barangay viral photo suspected kidnap seen holding guitar caught police holding guitar similar viral photo police said suspect serenade allegedly check child abduct suspect allegedly entice come barangay commonwealth suspect brought precinct office regional special unit camp city child cried seeing suspect told chief director suspect father said child allegedly told suspect chocolate neighbor incident suspect said construction worker said sideline serenade guitar provide suspect said police allegedly plastic face force admit crime police said suspect face investigate true child returned lost said,"Commonwealth, Quezon City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/686165/suspect-in-attempted-kidnapping-of-minors-arrested-in-qc/story/,https://images.gmanews.tv/webpics/2019/02/suspect_2019_02_26_09_39_03.jpg,14.698447,121.0823853,1
NBI arrests scammer posing as Salvador Panelo,2/26/2019 14:00,,"NICOLE-ANNE C. LAGRIMAS, GMA News",national bureau investigation money unsuspecting posing presidential fell entrapment operation city bureau said admitted account bearing seeing similar said intended money daily allegedly money presidential apologize secretary said matter taken willingly accept punishment guilty added fake account said account holder demand money allegedly turned bureau said operation stemmed letter office office chief presidential legal counsel sought investigation account bearing office real account entrapment operation undercover operative fake account money allegedly rehabilitation project typhoon naga city said agent allegedly lucrative department health allegedly agreed meet poseur agent receive computer related identity theft obstruction justice unlawful alias falsification public usurpation authority official fictitious true qualified theft regional trial bureau found,,Cybercrime,https://www.gmanetwork.com/news/topstories/metro/686180/nbi-arrests-scammer-posing-as-salvador-panelo/story/,https://images.gmanews.tv/webpics/2019/02/fakepanelo_2019_02_26_13_53_16.jpg,,,6
NCRPO relieves 2 police commanders after arrest of 2 cops in buy-bust ops,2/24/2019 14:01,,,national capital region police office director relieved police city directly supervise bust operation relief immediate internal investigation progress hard believe immediate rogue totally unaware behavior said statement expect know thoroughly observe note behavior added police chief inspector head district special unit eastern police district police inspector commander police community precinct relieved command responsibility afternoon respective police officer mark vista drug enforcement agency civilian allegedly taking million illegal drug transaction said relentless purging police national police internal cleansing program right rogue involved illegal caught enforcement agency criminal administrative immediately service said,Pasig City,Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/685986/ncrpo-relieves-2-police-commanders-after-arrest-of-2-cops-in-buy-bust-ops/story/,https://images.gmanews.tv/webpics/2018/08/Guillermo_Eleazar_2018_08_04_12_27_21.jpg,,,4
QC authorities stalk sari-sari store thief,2/25/2019 23:02,,"CESAR APOLINARIO, GMA News",operation burglar slipped inside compound stole sari sari store barangay city week owner store sleeping floor male suspect rushed compound barangay commonwealth desk duty officer provided footage victim said suspect video frequent customer store said going forth area said added suspect probably resident barangay commonwealth adjacent barangay news able obtain footage unidentified male suspect seen successfully taking cash inside store video clip suspect wearing white shirt slowly extending money urinal bowl attempt suspect wooden stick mounted extending reach urinal bowl suspect successfully paper bill video clip suspect time wooden sticks paper bowl aside cash unidentified suspect took expensive fled foot executive officer barangay commonwealth said owner sari sari store learned later person days valuable store said,"Commonwealth, Quezon City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/686132/qc-cops-stalk-sari-sari-store-thief/story/,https://images.gmanews.tv/webpics/2017/09/Quezon-City_2017_09_07_16_56_37.jpg,14.698447,121.0823853,1
DOTR on grenade found at MRT station: We will not take this sitting down,2/24/2019 12:25,,,department transportation vowed lightly discovery grenade inside passenger station night sitting said statement posted live hand grenade found baggage passenger inspection area said station machine found wrapped tape inside police custody violation republic illegal possession ammunition suspect undergo inquest city prosecutor office according like stress matter taken seriously patience tighten security understand protect safety security said want encourage remain vigilant report immediately security personnel find inside added national capital region police office chief director effective security system line able detect grenade fact grenade security system effective personnel said press conference morning said explosive fragmentation grenade suspect brother soldier said investigation ongoing determine suspect hold grenade determine brother culpability,"Cubao, Quezon CIty",Property Crime,https://www.gmanetwork.com/news/topstories/metro/685980/dotr-on-grenade-found-at-mrt-station-we-will-not-take-this-sitting-down/story/,https://images.gmanews.tv/webpics/2019/02/D0GAGvWXQAEQ1lX_2019_02_23_22_14_26.jpg,,,2
Court asked to junk cyber libel case vs. Rappler,2/26/2019 15:05,,"NICOLE-ANNE C. LAGRIMAS, GMA News",news court manila dismiss government libel case company maria reporter department justice researcher month story businessman link human drug smuggling bail article question prevention according defense correct typographical error prosecution based case supposed republication conceded original publication covered effect time told manila regional trial court branch motion quash prosecution multiple publication principle libel legal basis said prosecution supreme court division ruling said multiple publication rule invocation said considered precedent jurisdictional matter original case ruling applied print media principle apply defense said article constitute republication create substantial change update article correction word evasion single sentence original post said motion update republication prosecution shown criminal intent defame corrected spelling added multiple republication inapplicable defense said publication relevant case original posting said anti retroactively cover single publication information crime libel based republication failure state offense said defense libel prescriptive period year contrary position essentially libel computer system similar march,,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/686190/court-asked-to-junk-cyber-libel-case-vs-rappler/story/,https://images.gmanews.tv/webpics/2019/02/ZZZ_021419_1_2019_02_14_14_57_54.jpg,,,1
"PNP: Sirens, blinkers prohibited in campaign motorcades",2/26/2019 17:43,,,national police chief general public especially political similar road moving forcefully indiscriminate similar produce staggering illegal dome flashing said statement highway patrol group instructed impose implementation presidential decree persistent political motor vehicle registration penalty similar attached official government armed police fire hospital political observe road safety courtesy holding campaign prevent traffic disruption political especially major advised local government police proper assistance,,Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/686221/pnp-sirens-blinkers-prohibited-in-campaign-motorcades/story/,https://images.gmanews.tv/webpics/2018/06/ZZZ_061818_2_2018_06_18_14_33_19.jpg,,,4
Pasig prosecutor dismisses Kris Aquinoâ€™s complaint vs. Nicko Falcis,2/26/2019 19:00,2/26/2019 23:04,,city prosecutor qualified theft violation access device actress business associate resolution news senior city prosecutor complaint insufficiency evidence complaint violation republic access regulation hand stand credit card voluntarily unauthorized city jurisdiction credit card production company toby included evidence credit card respondent stolen lost suspended intent defraud decision read credit card voluntarily respondent added respondent credit card toby estate city credit card considered unauthorized decision read news camp comment receive reply posting time prosecutor separate complaint qualified theft city manila city allegedly spending million business fund personal previously said thrown false basis,Pasig City,Property Crime,https://www.gmanetwork.com/news/topstories/metro/686231/pasig-prosecutor-junks-kris-aquino-s-complaint-vs-nicko-falcis/story/,https://images.gmanews.tv/webpics/2019/02/ZZZ_022219_2_b_2019_02_22_14_52_49.jpg,,,2
"Drug paraphernalia found under Cainta bridge where tied, bruised girl was discovered",2/26/2019 23:56,,,foil drug paraphernalia found extension bridge injured year girl found bound neck tied imperial evening girl body vomiting blood symptom brain injury according update news balita girl confirmed video said know perpetrator recognize face community said drug paraphernalia found area bridge possible drug drug paraphernalia think place like bridge actually place community volunteer said year girl bleeding incessantly undergo scan investigation protection desk police family victim statement,,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/686267/drug-paraphernalia-found-under-cainta-bridge-where-tied-bruised-girl-was-discovered/story/,https://images.gmanews.tv/webpics/2019/02/drug_paraphernalia_under_the_bridge_2019_02_26_23_55_30.jpg,,,1
Suspect in rape of girl found tied up and bruised under Cainta bridge nabbed,2/27/2019 7:47,,,police night suspect rape killing year girl found tied bridge according exclusive report balita suspect convict barangay roque city wife informed barangay whereabouts spent prison robbery said drug addict concerned citizen came said immediately went serrano avenue said barangay roque sleeping inside tricycle barangay pick swiss knife suspect child found tied extension bridge know rape said true said girl suspect custody city police district posting time eventually turned police said victim body vomiting blood symptom brain injury reportedly confirmed video community said drug paraphernalia like foil found area bridge possible drug,"Cainta, Rizal",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/686286/suspect-in-rape-of-girl-found-tied-up-and-bruised-under-cainta-bridge-nabbed/story/,https://images.gmanews.tv/webpics/2019/02/PepitoTagal_2019_02_27_07_46_25.jpg,,,1
Woman jail visitor nabbed for possession of illegal drugs,2/28/2019 4:29,,"CESAR APOLINARIO, GMA News",year woman smuggle suspected custodial facility afternoon police superintendent commander police station suspect resident barangay city police station visit friend security camera footage news police desk waiting undergo inspection said standard operating procedure policewoman handle frisking female enter facility undergo standard operating procedure frisking visitor inmate added lady fall floor later knelt amateur video news civilian female officer holding plastic sachet folded aluminum foil plastic suspected police learned visit station sneak paraphernalia male friend jail possession peddling illegal told news supposed illegal substance inside facility inmate ordered said police said facility receiver eventually sell higher price vigilance public particularly provided information text news police senior inspector chief station drug enforcement unit intelligence branch station revealed live partner jail police station bust operation house barangay police paraphernalia said accomplice proliferation area received information house open entering charge drug house added police station facing violation comprehensive dangerous,"Gulod, Quezon City",Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/686410/woman-jail-visitor-nabbed-for-possession-of-illegal-drugs/story/,https://images.gmanews.tv/v3/webpics/v3/2014/09/2014_09_12_14_26_15.jpg,14.7168532,121.0403842,4
Cops nab six Chinese in raid on suspected Makati gambling den,03/01/2019 8:23,,,city night raid suspected illegal gambling city village police target house entry found room illegal gambling report balita said house peacefully police report added knowledge supposed illegal gambling operation house national capital region police chief director area shortly raid personally inspect house police said raid search warrant court camp police booking found proper bureau immigration said number suspected illegal gambling metropolis surveillance illegal police information especially posh rent said,Makati City,Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/686560/cops-nab-six-chinese-in-raid-on-suspected-makati-gambling-den/story/,https://images.gmanews.tv/v3/webpics/v3/2015/05/2015_05_26_12_18_50.jpg,,,4
"Couple, 3 others nabbed over drugs in Novaliches",03/01/2019 10:52,,"CESAR APOLINARIO, GMA News",police family bust operation afternoon inside house allegedly drug allegedly frequent police said prior couple aged respectively worth policeman buyer amateur video news source actual bust transaction start video clip armed civilian clothes couple home street police superintendent commander station said decoy police initially collared year brother alias arrest allegedly handed police immediately inside house tried hide later police officer station drug enforcement unit team leader hand woman room later suspect police text husband junior tried block police drug paraphernalia foil suspect deny allegation saying involved illegal trade poverty revealed house couple drug fellow alike like stop shop found related said male seen inside comfort room said house comfort room soon comfort room year friend year police suspect alibi showing exchange suspect drug police senior inspector told news previously different returned selling said police station facing violation comprehensive dangerous,"Novaliches, Quezon City",Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/686568/couple-3-others-nabbed-over-drugs-in-novaliches/story/,https://images.gmanews.tv/webpics/2019/03/arestado_2019_03_01_10_51_58.jpg,14.7209396,121.038922,4
Cop linked to 2011 torture of suspect arrested in Tondo,03/01/2019 13:17,,,manila policeman allegedly involved torture suspect gone according report police officer national bureau investigation home manila older brother chief inspector seen viral video torturing video victim lying floor naked older repeatedly string attached victim genitals elder head police community precinct manila police district seven manila city jail anti torture allegedly torturing victim said lawyer special action unit younger tipped whereabouts resist arrest,"Tondo, Manila City",Cybercrime,https://www.gmanetwork.com/news/topstories/metro/686577/cop-linked-to-2011-torture-of-suspect-arrested-in-tondo/story/,https://images.gmanews.tv/webpics/2019/03/binayug_2019_03_01_13_13_40.jpg,,,6
7 marijuana plants seized in QC police operation,03/01/2019 23:13,,"CESAR APOLINARIO, GMA News",uncovered marijuana foot tall plant growing toilet bowl bust operation station drug enforcement unit police station night different growth found plastic police superintendent commander city police station said prior discovery headed team leader senior police officer gilbert bust operation year pusher alias bust sting police decoy ordered sachet sachet marijuana admitted drug aside year carl year bust marijuana leaves said team suspect discovery holding fully grown plastic admitted growing house verification validation admitted marijuana plant yard follow operation said police initially targeted house searching police found plastic identical plastic seen police senior inspector chief intelligence branch police station said news arrest drug spread probably hidden thing large marijuana roof house like taken said told police vacant adjacent house news team discovery newly scattered vacant street barangay police forest like vacant surrounded thick species private strewn difficult team raid said prior discovery hidden spot thought like marijuana explosive caught bust operation caught added seven sent crime tested positive marijuana respectively faced violation comprehensive dangerous additional violation article section cultivation marijuana,"Novaliches, Quezon City",Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/686637/7-marijuana-plants-seized-in-qc-police-operation/story/,https://images.gmanews.tv/webpics/2019/03/marijuana_toilet_2019_03_02_00_24_12.jpg,14.7209396,121.038922,4
Cameroonian accused of budol-budol nabbed in QC,03/03/2019 14:50,03/03/2019 17:02,,entrapment operation city allegedly engaging according report news people formal foreigner city police district station alias smith prior police operation according press release station convinced invest double money initially gave said process money left came white powder gave yellow plastic black supposedly mixed suspect removed money yellow plastic covered instructed press money heavy object opening press release said march money found money fake police operation bundle fake peso possession declined comment face swindling illegal possession false treasury bank credit,"Batasan Hills, Quezon City",Financial or White Collar Crime,https://www.gmanetwork.com/news/topstories/metro/686744/cameroonian-accused-of-budol-budol-nabbed-in-qc/story/,https://images.gmanews.tv/webpics/2019/03/karl_heinz_2019_03_03_14_40_38.png,14.6862585,121.099335,5
QC cops arrest 12 drug suspects in several operations,03/04/2019 1:08,,"CESAR APOLINARIO, GMA News",drug separate city week thirty seven year year deck rosario night bust sting police station police superintendent commander city police district station said operative buyer ordered rosario rosario police decoy house street barangay commonwealth follow operation hour rosario arrest said peddling commonwealth respectively barangay caught drug session inside house barangay commonwealth angel later drug paraphernalia foil brought police station evening tactical motorcycle rider police station male barangay caught sniffing marijuana compound aside year sachet marijuana leaves operation year admitted sniffing marijuana police scene faced drug young brought department social welfare development office city bust police station nights respectively allegedly involved peddling barangay night sold worth decoy policeman suspected told news peddling fake tried fool friend said police said face violation comprehensive dangerous evening year sold sachet suspected police said included drug surveillance past suspected later admitted involved peddling year violation comprehensive dangerous,"Commonwealth, Quezon City",Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/686778/qc-cops-arrest-12-drug-suspects-in-mutiple-operations/story/,https://images.gmanews.tv/webpics/2019/03/drugs_2019_03_04_01_48_01.jpg,14.698447,121.0823853,4
"Alleged Chinese kidnappers part of loan shark gang, says Laguna police",03/03/2019 16:29,,,supposedly captive loan shark group hostage unable money lent according report according report lend fellow money play winnings lose forced money interest unable hostage come money victim said hostage days inside resort city help notified police research data anti time people like provincial police director police senior superintendent matta said interview matta said victim known convinced borrow money gang rita,"Calamba, Laguna",Financial or White Collar Crime,https://www.gmanetwork.com/news/topstories/metro/686752/alleged-chinese-kidnappers-part-of-loan-shark-gang-says-laguna-police/story/,https://images.gmanews.tv/webpics/2019/03/loan_shark_gang_2019_03_03_15_56_23.png,,,5
P4.5M worth of endangered turtles seized at NAIA,03/04/2019 10:52,,,worth million international airport found inside passenger baggage according report balita passenger brought board hong baggage found people watching machine duct moving district collector customs said found inside pants covered prove catch person suffer penalty fine high million said wildlife enforcement officer department environment natural species tortoise worth redfoot tortoise tortoise star tortoise turtle customs turned wildlife answer negative wildlife stay rescue center said rita,,Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/686796/p4-5m-worth-of-endangered-turtles-seized-at-naia/story/,https://images.gmanews.tv/webpics/2019/03/turtles_2019_03_04_10_51_52.jpg,,,4
P14 million worth of party drugs confiscated in QC buy-bust,03/04/2019 11:53,03/04/2019 19:19,,million worth party bust operation city according report allan news personnel regional drug enforcement unit national capital region police office city police district operation morning condominium corner avenue street barangay chief inspector suspect statement said venue illegal distributed party city revealed supply working dark paying ecstasy street value million liquid ecstasy worth million worth million suspect police surveillance month operation carried according member criminal gang involved drug manila continue relentless ensure drug said chief director rita,"Loyola Heights, Quezon City",Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/686801/more-than-p6-m-worth-of-party-drugs-confiscated-in-qc-buy-bust/story/,https://images.gmanews.tv/webpics/2019/03/partydrugs_2019_03_04_11_52_40.jpg,14.6410904,121.0737779,4
LRT-1 commuter nabbed over bomb prank,03/05/2019 0:11,,,commuter city cracking bomb joke according report super commuter security inspection entrance station bomb security guard commuter immediately found brought police station presidential decree considered,Pasay City,Property Crime,https://www.gmanetwork.com/news/topstories/metro/686894/man-nabbed-for-dropping-bomb-joke-in-lrt-1/story/,https://images.gmanews.tv/webpics/2015/08/ZZZ_081715_lrt_2015_08_17_10_14_41.jpg,,,2
